@relation toy-ordinal-weka.filters.supervised.instance.StratifiedRemoveFolds-S292099417-V-N4-F1

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5}

@data

0.97581,0.35153,2
0.11957,0.56784,2
0.41907,0.87125,2
0.39228,0.64824,2
0.73046,0.27521,2
0.63373,0.093972,2
0.16625,0.55572,2
0.41558,0.86232,2
0.64033,0.29844,2
0.40904,0.63785,2
0.45941,0.98241,2
0.58061,0.085175,2
0.80845,0.4176,2
0.097105,0.74012,2
0.29072,0.97072,2
0.57297,0.25176,2
0.34966,0.80765,2
0.32795,0.58847,2
0.11155,0.61442,2
0.62432,0.18227,2
0.60463,0.36846,2
0.84541,0.27148,2
0.95439,0.59201,4
0.24555,0.2838,4
0.25285,0.37841,4
0.062849,0.41095,4
0.093461,0.36838,4
0.91325,0.6191,4
0.35489,0.2831,4
0.40146,0.13124,4
0.82826,0.76631,4
0.71055,0.7378,4
0.06543,0.30027,4
0.28639,0.37805,4
0.21131,0.3085,4
0.84118,0.58069,4
0.10017,0.3509,4
0.24295,0.16515,4
0.028138,0.43011,4
0.45428,0.33706,3
0.63734,0.47111,3
0.34283,0.51525,3
0.38618,0.41939,3
0.45782,0.04314,3
0.30128,0.49926,3
0.26351,0.43182,3
0.42973,0.53427,3
0.48145,0.77831,3
0.76472,0.50544,3
0.41434,0.45077,3
0.45648,0.3456,3
0.48468,0.47292,3
0.47602,0.29086,3
0.42375,0.36931,3
0.44439,0.25767,3
0.77524,0.46723,3
0.50856,0.495,3
0.45038,0.58985,3
0.23393,0.46577,3
0.015836,0.85092,1
0.14351,0.78392,1
0.074228,0.77711,1
0.007155,0.84027,1
0.031443,0.83786,1
0.963,0.096605,1
0.99909,0.069148,1
0.92369,0.045739,1
0.82474,0.81971,5
0.024496,0.20777,5
0.9881,0.87372,5
0.91128,0.98128,5
0.91389,0.79736,5
0.8519,0.94896,5
0.95063,0.788,5
0.10841,0.061655,5
0.66585,0.29556,2
0.19841,0.65001,2
0.11094,0.71916,2
0.90869,0.3058,2
0.12416,0.70061,2
0.37972,0.93307,2
0.70522,0.13124,2
0.74931,0.3644,2
0.67025,0.22356,2
0.402,0.78104,2
0.34338,0.76749,2
0.85889,0.26189,2
0.078315,0.70913,2
0.69289,0.084547,2
0.70593,0.43841,2
0.25588,0.59506,2
0.79698,0.3546,2
0.056894,0.71508,2
0.44754,0.70888,2
0.26925,0.6309,2
0.16481,0.54812,2
0.41206,0.78268,2
0.7736,0.61679,4
0.30528,0.10141,4
0.19576,0.2489,4
0.61125,0.74618,4
0.6944,0.92036,4
0.03116,0.35045,4
0.82494,0.64959,4
0.40407,0.08235,4
0.85163,0.67125,4
0.61186,0.9068,4
0.69101,0.91796,4
0.88071,0.61324,4
0.70493,0.73307,4
0.613,0.9215,4
0.049606,0.30457,4
0.97992,0.66519,4
0.6995,0.9315,4
0.29175,0.40189,3
0.50191,0.77276,3
0.4192,0.218,3
0.016035,0.51722,3
0.48329,0.92331,3
0.47453,0.62063,3
0.42867,0.33358,3
0.84247,0.52367,3
0.27265,0.48644,3
0.51862,0.090424,3
0.52025,0.49366,3
0.61177,0.66819,3
0.39702,0.52786,3
0.78835,0.57312,3
0.75376,0.51658,3
0.55197,0.44243,3
0.57385,0.40405,3
0.85414,0.53746,3
0.52583,0.11915,3
0.22546,0.87249,1
0.11247,0.8134,1
0.77535,0.050562,1
0.90364,0.008141,1
0.066426,0.86221,1
0.19369,0.96696,1
0.83715,0.011609,1
0.74216,0.011303,1
0.93034,0.11308,1
0.80414,0.9634,5
0.9795,0.96547,5
0.79299,0.84561,5
0.96605,0.90717,5
0.89699,0.95793,5
0.88583,0.84385,5
0.16598,0.18197,5
0.86492,0.93575,5
0.64906,0.20373,2
0.73925,0.14167,2
0.63675,0.19243,2
0.78026,0.25449,2
0.74673,0.27155,2
0.080171,0.57122,2
0.092398,0.59522,2
0.37505,0.62104,2
0.58668,0.35135,2
0.24669,0.60274,2
0.83815,0.39471,2
0.60882,0.19601,2
0.95441,0.45151,2
0.033257,0.57951,2
0.70564,0.22936,2
0.39123,0.83802,2
0.82258,0.37879,2
0.339,0.67065,2
0.31093,0.77076,2
0.59779,0.30524,2
0.47401,0.93543,2
0.67603,0.97652,4
0.64343,0.71977,4
0.70509,0.78691,4
0.2936,0.023302,4
0.88289,0.6164,4
0.69633,0.79935,4
0.3859,0.12815,4
0.58132,0.8819,4
0.78025,0.78415,4
0.36105,0.12946,4
0.6837,0.99276,4
0.61756,0.92275,4
0.64163,0.99521,4
0.5902,0.98591,4
0.34327,0.065282,4
0.5794,0.83574,4
0.097897,0.32314,4
0.65778,0.58573,3
0.56876,0.45172,3
0.41635,0.51793,3
0.99152,0.49241,3
0.49542,0.014818,3
0.3877,0.41387,3
0.63427,0.46552,3
0.78916,0.4887,3
0.77788,0.47279,3
0.50817,0.0878,3
0.70688,0.59994,3
0.64364,0.61377,3
0.6069,0.48444,3
0.45343,0.1214,3
0.5059,0.69643,3
0.51944,0.11964,3
0.35428,0.49382,3
0.43988,0.38057,3
0.34841,0.50133,3
0.97423,0.5432,3
0.17482,0.85284,1
0.872,0.04329,1
0.16221,0.91459,1
0.15261,0.99562,1
0.082818,0.96646,1
0.019382,0.93832,1
0.87143,0.069843,1
0.069335,0.81931,1
0.20502,0.85333,1
0.010545,0.11348,5
0.1584,0.16417,5
0.71319,0.97197,5
0.05999,0.052366,5
0.99842,0.80255,5
0.86232,0.88763,5
0.070224,0.15881,5
0.15833,0.091409,5
